0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,0
70.0,6.0,42.0,11.0,39.0,22.0,49.0,2.0,39.0,9.0,36.0,11.0,11.0,12.0,3.0,3.0,0.52,0.0,0.0,39.0,0
31.0,1.0,19.0,2.0,18.0,11.0,66.0,2.0,17.0,2.0,16.0,8.0,8.0,9.0,1.0,1.0,0.58,1.0,1.0,18.0,0
28.0,3.0,13.0,2.0,12.0,13.0,12.0,1.0,13.0,2.0,12.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,12.0,0
14.0,0.0,13.0,3.0,12.0,1.0,4.0,1.0,12.0,3.0,11.0,3.0,3.0,3.0,1.0,1.0,0.08,3.0,3.0,11.0,0
12.0,0.0,11.0,2.0,10.0,1.0,1.0,0.0,11.0,2.0,10.0,1.0,1.0,1.0,1.0,0.0,0.09,1.0,1.0,11.0,0
17.0,0.0,15.0,2.0,14.0,2.0,1.0,0.0,12.0,2.0,11.0,1.0,1.0,1.0,1.0,3.0,0.13,1.0,1.0,12.0,0
27.0,1.0,21.0,3.0,20.0,5.0,2.0,0.0,17.0,3.0,16.0,2.0,2.0,2.0,1.0,1.0,0.24,1.0,1.0,16.0,0
58.0,8.0,44.0,17.0,27.0,6.0,1.0,0.0,35.0,17.0,18.0,1.0,1.0,1.0,1.0,0.0,0.14,1.0,1.0,16.0,0
41.0,4.0,36.0,9.0,35.0,1.0,96.0,2.0,30.0,9.0,29.0,10.0,10.0,10.0,9.0,3.0,0.03,4.0,3.0,34.0,0
13.0,0.0,13.0,4.0,12.0,0.0,2.0,0.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,12.0,0
11.0,0.0,10.0,5.0,9.0,1.0,3.0,0.0,10.0,5.0,9.0,3.0,3.0,3.0,1.0,2.0,0.1,1.0,1.0,9.0,0
24.0,2.0,11.0,4.0,9.0,11.0,1.0,0.0,11.0,4.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,9.0,0
10.0,0.0,10.0,8.0,9.0,0.0,1.0,0.0,9.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0
23.0,5.0,16.0,11.0,15.0,2.0,3.0,0.0,15.0,11.0,14.0,3.0,3.0,3.0,1.0,2.0,0.12,1.0,1.0,13.0,0
25.0,0.0,21.0,2.0,20.0,4.0,4.0,1.0,13.0,2.0,12.0,4.0,4.0,4.0,1.0,4.0,0.19,1.0,1.0,13.0,0
26.0,2.0,11.0,3.0,10.0,13.0,4.0,1.0,8.0,3.0,7.0,4.0,4.0,4.0,4.0,1.0,1.18,3.0,2.0,10.0,0
25.0,0.0,19.0,6.0,18.0,6.0,1.0,0.0,19.0,6.0,18.0,1.0,1.0,1.0,1.0,0.0,0.32,0.0,0.0,18.0,0
19.0,2.0,14.0,3.0,13.0,3.0,1.0,0.0,14.0,3.0,13.0,1.0,1.0,1.0,1.0,1.0,0.21,0.0,0.0,13.0,0
108.0,16.0,28.0,8.0,26.0,64.0,40.0,2.0,24.0,8.0,22.0,10.0,10.0,10.0,1.0,4.0,2.29,3.0,3.0,23.0,0
