Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\__init__.py",D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\bees.py",D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\bees.py,6,6,7,2,35,6,27,2,,,,,0,18,,17,,,,,707,150,489,136,452,72,2,0,429,128,393,2,2,2,1,20,20,23,11,,5,"0.15",109,109,130,40
Module File,"D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\main.py",D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\main.py,5,5,5,1,48,10,58,3,,,,,0,3,,2,,,,,177,28,123,13,117,26,2,0,58,13,52,2,2,2,1,12,12,12,1,,3,"0.21",15,15,15,3
Module File,"D:\thesis2\real 106 project\beeswithmachineguns\setup.py",D:\thesis2\real 106 project\beeswithmachineguns\setup.py,2,2,2,1,26,0,0,0,,,,,0,1,,0,,,,,32,3,28,4,26,1,2,0,7,3,5,2,2,2,1,2,2,2,1,,1,"0.04",2,2,2,1
Package,"beeswithmachineguns",,0,0,0,0,0,0,0,0,,,,,0,,1,0,,,,,1,1,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"beeswithmachineguns",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"beeswithmachineguns",,5,5,5,1,48,10,58,3,,,,,0,,1,2,,,,,177,28,123,13,117,26,,,58,13,52,,,,,12,12,12,1,,3,,15,15,15,3
Package,"beeswithmachineguns",,6,6,7,2,35,6,27,2,,,,,0,,1,17,,,,,707,150,489,136,452,72,,,429,128,393,,,,,20,20,23,11,,5,,109,109,130,40
Function,"beeswithmachineguns.bees._attack(params)",D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\bees.py,,,,,,,,,,,,,,,,,,,,,116,22,88,17,87,7,1674,3,81,16,80,17,17,23,6,,,,,,4,"0.08",,,,
Function,"beeswithmachineguns.bees._create_request_time_cdf_csv(results,complete_bees_params,request_time_cdf,csv_filename)",D:\thesis2\real 106 project\beeswithmachineguns\beeswithmachineguns\bees.py,,,,,,,,,,,,,,,,,,,,,18,0,16,10,15,2,9,1,16,9,15,7,7,11,1,,,,,,5,"0.12",,,,
