Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\yowsup\setup.py",D:\thesis2\real 106 project\yowsup\setup.py,3,3,3,1,31,0,0,0,,,,,0,1,,0,,,,,47,3,36,6,31,8,3,0,12,6,7,3,3,3,1,3,3,3,1,,2,"0.22",3,3,3,1
File,"D:\thesis2\real 106 project\yowsup\yowsup\__init__.py",D:\thesis2\real 106 project\yowsup\yowsup\__init__.py,1,1,1,1,2,0,0,0,,,,,0,1,,0,,,,,2,0,2,2,2,0,1,0,2,2,2,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
File,"D:\thesis2\real 106 project\yowsup\yowsup\common\__init__.py",D:\thesis2\real 106 project\yowsup\yowsup\common\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\yowsup\yowsup\common\constants.py",D:\thesis2\real 106 project\yowsup\yowsup\common\constants.py,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,25,2,23,6,22,0,0,0,6,6,5,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
File,"D:\thesis2\real 106 project\yowsup\yowsup\common\http\__init__.py",D:\thesis2\real 106 project\yowsup\yowsup\common\http\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,3,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\yowsup\yowsup\common\http\httpproxy.py",D:\thesis2\real 106 project\yowsup\yowsup\common\http\httpproxy.py,2,2,2,1,5,0,5,0,,,,,2,10,,9,,,,,94,16,61,33,46,17,2,0,62,32,48,2,2,2,1,6,6,6,3,,2,"0.28",22,22,23,14
Module File,"D:\thesis2\real 106 project\yowsup\yowsup\common\http\test_warequest.py",D:\thesis2\real 106 project\yowsup\yowsup\common\http\test_warequest.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\yowsup\yowsup\common\http\warequest.py",D:\thesis2\real 106 project\yowsup\yowsup\common\http\warequest.py,2,2,2,1,8,2,6,0,,,,,1,15,,14,,,,,170,56,113,51,88,3,3,0,104,50,80,3,3,3,1,5,5,6,1,,2,"0.03",32,32,37,15
Module File,"D:\thesis2\real 106 project\yowsup\yowsup\common\http\waresponseparser.py",D:\thesis2\real 106 project\yowsup\yowsup\common\http\waresponseparser.py,3,3,3,1,11,3,8,0,,,,,4,13,,12,,,,,167,54,108,49,86,6,1,0,101,49,79,1,1,1,1,8,8,8,5,,3,"0.06",39,39,39,22
Module File,"D:\thesis2\real 106 project\yowsup\yowsup\common\tools.py",D:\thesis2\real 106 project\yowsup\yowsup\common\tools.py,1,1,1,1,5,0,5,0,,,,,6,19,,18,,,,,158,23,134,84,79,1,1,0,113,62,76,1,1,1,1,2,2,2,1,,2,"0.01",30,30,30,19
File,"D:\thesis2\real 106 project\yowsup\yowsup\demos\__init__.py",D:\thesis2\real 106 project\yowsup\yowsup\demos\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
