Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\GitGutter\git_gutter.py",D:\thesis2\real 106 project\GitGutter\git_gutter.py,2,2,2,1,10,0,9,0,,,,,1,13,,12,,,,,157,28,123,47,104,6,4,1,111,47,92,3,3,3,1,9,9,9,3,,3,"0.05",37,37,37,15
Module File,"D:\thesis2\real 106 project\GitGutter\git_gutter_change.py",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,2,2,2,1,7,1,7,0,,,,,3,6,,5,,,,,69,21,48,25,35,0,4,1,44,25,31,3,3,3,1,3,3,3,1,,2,"0.00",13,13,13,6
Module File,"D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py",D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py,1,1,1,1,4,0,4,0,,,,,6,13,,12,,,,,83,15,68,42,46,0,2,0,66,42,44,2,2,2,1,2,2,2,1,,1,"0.00",17,17,17,13
Module File,"D:\thesis2\real 106 project\GitGutter\git_gutter_events.py",D:\thesis2\real 106 project\GitGutter\git_gutter_events.py,2,2,2,1,6,0,6,0,,,,,1,13,,12,,,,,116,29,84,34,64,3,4,1,70,33,51,3,3,3,1,4,4,4,1,,3,"0.04",30,30,34,13
Module File,"D:\thesis2\real 106 project\GitGutter\git_gutter_handler.py",D:\thesis2\real 106 project\GitGutter\git_gutter_handler.py,2,2,2,1,12,0,11,0,,,,,1,20,,19,,,,,298,34,237,85,208,29,2,0,176,85,147,2,2,2,1,6,6,9,1,,3,"0.12",46,46,59,20
Module File,"D:\thesis2\real 106 project\GitGutter\git_helper.py",D:\thesis2\real 106 project\GitGutter\git_helper.py,2,2,2,2,9,0,8,0,,,,,0,4,,4,,,,,47,10,36,14,31,1,0,0,32,13,27,0,0,0,0,3,3,3,3,,2,"0.03",10,10,10,8
Module File,"D:\thesis2\real 106 project\GitGutter\view_collection.py",D:\thesis2\real 106 project\GitGutter\view_collection.py,1,1,1,1,3,0,3,0,,,,,1,19,,19,,,,,121,22,99,62,56,1,0,0,79,44,54,0,0,0,0,2,2,2,1,,1,"0.01",25,25,26,19
Unknown Class,"EventListener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Package,"GitGutter",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Unknown Class,"WindowCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"WindowCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"WindowCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Class,"git_gutter.GitGutterCommand",D:\thesis2\real 106 project\GitGutter\git_gutter.py,3,3,3,1,11,0,10,0,1,2,1,0,,,,,10,1,10,10,136,20,110,39,98,6,,,98,39,86,,,,,9,9,9,3,1,3,"0.05",33,33,33,13
Function,"git_gutter.GitGutterCommand.bind_files(self,event)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,8,0,8,4,7,0,2,0,8,4,7,2,2,2,1,,,,,,1,"0.00",,,,
Function,"git_gutter.GitGutterCommand.bind_icons(self,event,lines)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,8,0,8,5,7,0,2,0,8,5,7,2,2,2,1,,,,,,1,"0.00",,,,
Function,"git_gutter.GitGutterCommand.clear_all(self)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,2,0,3,2,2,2,2,2,1,,,,,,1,"0.00",,,,
Function,"git_gutter.GitGutterCommand.icon_path(self,icon_name)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,13,2,11,3,10,0,6,1,10,3,9,4,4,4,1,,,,,,2,"0.00",,,,
Function,"git_gutter.GitGutterCommand.is_region_protected(self,region)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,12,1,8,4,7,3,3,0,8,4,7,3,3,3,3,,,,,,2,"0.38",,,,
Function,"git_gutter.GitGutterCommand.lines_removed(self,lines)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,14,1,13,4,12,0,6,1,13,4,12,4,4,4,1,,,,,,2,"0.00",,,,
Function,"git_gutter.GitGutterCommand.lines_to_regions(self,lines)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,8,0,8,5,7,0,3,0,8,5,7,3,3,3,1,,,,,,2,"0.00",,,,
Function,"git_gutter.GitGutterCommand.plugin_dir(self)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,4,0,4,3,3,0,1,0,4,3,3,1,1,1,1,,,,,,0,"0.00",,,,
Function,"git_gutter.GitGutterCommand.run(self,force_refresh)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,39,4,32,5,31,3,11,1,24,5,23,9,9,9,1,,,,,,3,"0.09",,,,
Function,"git_gutter.GitGutterCommand.update_status(self,inserted,modified,deleted,compare,branch)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,13,2,11,2,9,0,1,0,10,2,8,1,1,1,1,,,,,,0,"0.00",,,,
Function,"git_gutter.GitGutterCommand.update_status.set_status_if(test,key,message)",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,4,1,3,2,2,2,1,,,,,,1,"0.00",,,,
Function,"git_gutter.plugin_loaded()",D:\thesis2\real 106 project\GitGutter\git_gutter.py,,,,,,,,,,,,,,,,,,,,,3,0,3,2,1,0,1,0,3,2,1,1,1,1,1,,,,,,0,"0.00",,,,
Class,"git_gutter_change.GitGutterBaseChangeCommand",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,2,2,2,1,11,2,9,0,1,1,1,2,,,,,2,0,2,2,26,6,20,12,17,0,,,20,12,17,,,,,3,3,3,1,1,2,"0.00",5,5,5,2
Function,"git_gutter_change.GitGutterBaseChangeCommand.lines_to_blocks(self,lines)",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,,,,,,,,,,,,,,,,,,,,,8,0,8,4,7,0,3,0,8,4,7,3,3,3,1,,,,,,2,"0.00",,,,
Function,"git_gutter_change.GitGutterBaseChangeCommand.run(self)",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,,,,,,,,,,,,,,,,,,,,,15,4,11,7,10,0,2,0,11,7,10,2,2,2,1,,,,,,1,"0.00",,,,
Class,"git_gutter_change.GitGutterNextChangeCommand",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,2,2,2,1,8,1,7,0,1,0,0,0,,,,,1,0,1,3,10,2,8,3,6,0,,,6,3,4,,,,,2,2,2,1,2,1,"0.00",2,2,2,1
Function,"git_gutter_change.GitGutterNextChangeCommand.jump(self,all_changes,current_row)",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,,,,,,,,,,,,,,,,,,,,,8,1,7,2,6,0,2,0,5,2,4,2,2,2,1,,,,,,1,"0.00",,,,
Class,"git_gutter_change.GitGutterPrevChangeCommand",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,2,2,2,1,8,1,7,0,1,1,0,0,,,,,1,0,1,3,10,2,8,3,6,0,,,6,3,4,,,,,2,2,2,1,2,1,"0.00",2,2,2,1
Function,"git_gutter_change.GitGutterPrevChangeCommand.jump(self,all_changes,current_row)",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,,,,,,,,,,,,,,,,,,,,,8,1,7,2,6,0,2,0,5,2,4,2,2,2,1,,,,,,1,"0.00",,,,
Function,"git_gutter_change.plugin_loaded()",D:\thesis2\real 106 project\GitGutter\git_gutter_change.py,,,,,,,,,,,,,,,,,,,,,3,0,3,2,1,0,1,0,3,2,1,1,1,1,1,,,,,,0,"0.00",,,,
Class,"git_gutter_compare.GitGutterCompareBranch",D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py,1,1,1,1,4,0,4,0,1,0,0,0,,,,,2,0,2,6,11,1,10,8,7,0,,,10,8,7,,,,,1,1,1,1,2,0,"0.00",2,2,2,2
Function,"git_gutter_compare.GitGutterCompareBranch.commit_list(self)",D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"git_gutter_compare.GitGutterCompareBranch.parse_result(self,result)",D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py,,,,,,,,,,,,,,,,,,,,,6,0,6,5,5,0,1,0,6,5,5,1,1,1,1,,,,,,0,"0.00",,,,
Class,"git_gutter_compare.GitGutterCompareCommit",D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py,1,1,1,1,5,0,4,0,1,1,1,2,,,,,4,3,4,4,24,4,20,11,15,0,,,20,11,15,,,,,2,2,2,1,1,1,"0.00",6,6,6,4
Function,"git_gutter_compare.GitGutterCompareCommit.commit_list(self)",D:\thesis2\real 106 project\GitGutter\git_gutter_compare.py,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,,,,,,0,"0.00",,,,
