Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"BasePermission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseRenderer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CsrfViewMiddleware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\__init__.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\__init__.py,1,1,1,1,8,0,0,0,,,,,0,1,,0,,,,,23,4,8,8,8,11,1,0,8,8,8,1,1,1,1,1,1,1,1,,0,"1.38",1,1,1,1
Module File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authentication.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authentication.py,2,2,2,2,10,1,6,2,,,,,5,12,,12,,,,,194,47,92,39,68,55,0,0,88,39,64,0,0,0,0,5,5,6,5,,1,"0.60",27,27,30,24
File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\__init__.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\admin.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\admin.py,1,1,1,1,1,0,0,0,,,,,1,1,,0,,,,,12,5,7,6,4,0,1,0,7,6,4,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\migrations\0001_initial.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\migrations\0001_initial.py,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,26,5,20,6,16,1,0,0,6,6,2,0,0,0,0,0,0,0,0,,0,"0.05",0,0,0,0
File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\migrations\__init__.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\migrations\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\models.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\models.py,1,1,1,1,2,0,2,0,,,,,2,4,,3,,,,,41,8,21,16,10,12,1,0,20,15,10,1,1,1,1,2,2,2,1,,1,"0.57",5,5,5,4
Module File,"D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\serializers.py",D:\thesis2\real 106 project\django-rest-framework\rest_framework\authtoken\serializers.py,4,4,5,4,20,3,17,0,,,,,1,1,,1,,,,,30,7,23,11,18,0,0,0,21,11,16,0,0,0,0,4,4,5,4,,3,"0.00",4,4,5,4
