Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,2,2,3,1,15,1,11,2,,,,,26,129,,128,,,,,2375,431,1481,580,1223,463,8,1,1155,486,991,4,4,4,1,21,21,21,12,,6,"0.31",382,382,407,187
Module File,"D:\thesis2\real 106 project\autojump\bin\autojump_data.py",D:\thesis2\real 106 project\autojump\bin\autojump_data.py,2,2,3,1,15,2,11,3,,,,,0,7,,6,,,,,142,31,90,41,69,22,2,0,78,38,57,2,2,2,1,4,4,5,3,,3,"0.24",20,20,22,9
Module File,"D:\thesis2\real 106 project\autojump\bin\autojump_utils.py",D:\thesis2\real 106 project\autojump\bin\autojump_utils.py,1,1,2,1,6,0,4,1,,,,,0,24,,23,,,,,209,58,123,45,90,28,2,0,112,44,79,2,2,2,1,5,5,5,4,,3,"0.23",46,46,50,31
Module File,"D:\thesis2\real 106 project\autojump\install.py",D:\thesis2\real 106 project\autojump\install.py,3,3,4,1,20,2,20,0,,,,,0,9,,8,,,,,216,41,171,38,157,6,2,0,130,36,116,2,2,2,1,11,11,15,9,,3,"0.04",30,30,36,17
File,"D:\thesis2\real 106 project\autojump\tests\__init__.py",D:\thesis2\real 106 project\autojump\tests\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\autojump\tests\autojump_data_test.py",D:\thesis2\real 106 project\autojump\tests\autojump_data_test.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\autojump\tests\autojump_test.py",D:\thesis2\real 106 project\autojump\tests\autojump_test.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\autojump\tests\autojump_utils_test.py",D:\thesis2\real 106 project\autojump\tests\autojump_utils_test.py,1,1,1,1,3,0,3,0,,,,,0,20,,19,,,,,145,43,93,45,45,10,2,0,80,38,44,2,2,2,1,3,3,3,1,,1,"0.11",24,24,24,20
Module File,"D:\thesis2\real 106 project\autojump\tools\autojump_ipython.py",D:\thesis2\real 106 project\autojump\tools\autojump_ipython.py,1,1,1,1,5,1,8,0,,,,,0,2,,1,,,,,36,11,14,8,9,12,1,0,10,7,6,1,1,1,1,2,2,2,1,,1,"0.86",3,3,3,2
Module File,"D:\thesis2\real 106 project\autojump\uninstall.py",D:\thesis2\real 106 project\autojump\uninstall.py,3,3,3,1,16,1,15,0,,,,,0,10,,9,,,,,192,37,150,34,135,5,2,0,120,34,105,2,2,2,1,6,6,6,3,,2,"0.03",32,32,33,16
Abstract Class,"autojump_argparse.Action",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,1,1,1,1,12,0,12,0,1,1,0,9,,,,,3,10,3,6,90,16,37,25,23,37,,,17,15,13,,,,,1,1,1,1,2,0,"1.00",3,3,3,3
Function,"autojump_argparse.Action.__call__(self,parser,namespace,values,option_string)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.Action.__init__(self,option_strings,dest,nargs,const,default,type,choices,required,help,metavar)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,21,0,21,21,10,0,1,0,11,11,10,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.Action._get_kwargs(self)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,13,0,13,2,12,0,1,0,3,2,2,1,1,1,1,,,,,,0,"0.00",,,,
Class,"autojump_argparse.ArgumentDefaultsHelpFormatter",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,4,4,5,1,8,0,8,0,1,0,0,0,,,,,1,0,1,25,16,3,9,3,7,4,,,9,3,7,,,,,4,4,5,1,2,3,"0.44",4,4,5,1
Function,"autojump_argparse.ArgumentDefaultsHelpFormatter._get_help_string(self,action)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,8,0,8,2,7,0,4,1,8,2,7,4,4,5,1,,,,,,3,"0.00",,,,
Class,"autojump_argparse.ArgumentError",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,1,1,1,1,5,0,5,0,1,1,0,0,,,,,2,2,2,14,19,4,11,5,8,4,,,9,5,6,,,,,2,2,2,1,3,1,"0.36",3,3,3,2
Function,"autojump_argparse.ArgumentError.__init__(self,argument,message)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.ArgumentError.__str__(self)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,7,0,7,1,6,0,2,0,5,1,4,2,2,2,1,,,,,,1,"0.00",,,,
Class,"autojump_argparse.ArgumentParser",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,4,4,4,1,26,3,17,5,2,14,4,0,,,,,29,10,29,50,827,131,517,171,468,179,,,428,159,391,,,,,21,21,21,12,2,6,"0.35",142,142,152,65
Function,"autojump_argparse.ArgumentParser.__init__(self,prog,usage,description,epilog,version,parents,formatter_class,prefix_chars,fromfile_prefix_chars,argument_default,conflict_handler,add_help)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,77,8,64,30,49,5,96,2,37,18,34,8,8,8,1,,,,,,2,"0.08",,,,
Function,"autojump_argparse.ArgumentParser.__init__.identity(string)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.ArgumentParser._add_action(self,action)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,6,0,6,1,5,0,2,0,5,1,4,2,2,2,1,,,,,,1,"0.00",,,,
Function,"autojump_argparse.ArgumentParser._check_value(self,action,value)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,6,0,5,3,4,1,2,0,5,3,4,2,2,3,1,,,,,,1,"0.20",,,,
Function,"autojump_argparse.ArgumentParser._get_formatter(self)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.ArgumentParser._get_kwargs(self)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,11,0,11,2,10,0,1,0,3,2,2,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.ArgumentParser._get_nargs_pattern(self,action)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,40,9,20,3,19,11,14,1,14,3,13,8,8,8,1,,,,,,1,"0.55",,,,
Function,"autojump_argparse.ArgumentParser._get_option_tuples(self,option_string)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,43,5,31,8,30,7,11,1,27,8,26,9,9,11,1,,,,,,3,"0.23",,,,
Function,"autojump_argparse.ArgumentParser._get_optional_actions(self)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,4,0,4,1,3,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.ArgumentParser._get_positional_actions(self)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,4,0,4,1,3,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"autojump_argparse.ArgumentParser._get_value(self,action,arg_string)",D:\thesis2\real 106 project\autojump\bin\autojump_argparse.py,,,,,,,,,,,,,,,,,,,,,24,4,16,5,15,4,6,1,16,5,15,4,4,4,4,,,,,,1,"0.25",,,,
