Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"AuthBase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseSubjectAltName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"CookieJar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Module File,"D:\thesis2\real 106 project\requests\docs\_themes\flask_theme_support.py",D:\thesis2\real 106 project\requests\docs\_themes\flask_theme_support.py,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,86,12,68,7,64,67,0,0,6,6,3,0,0,0,0,0,0,0,0,,0,"0.99",0,0,0,0
Module File,"D:\thesis2\real 106 project\requests\docs\conf.py",D:\thesis2\real 106 project\requests\docs\conf.py,1,1,1,1,41,0,0,0,,,,,0,1,,0,,,,,248,65,44,24,41,139,1,0,28,24,25,1,1,1,1,1,1,1,1,,0,"3.16",1,1,1,1
File,"D:\thesis2\real 106 project\requests\requests\__init__.py",D:\thesis2\real 106 project\requests\requests\__init__.py,2,2,2,1,7,0,2,0,,,,,1,2,,1,,,,,77,14,28,20,14,36,4,1,25,17,14,3,3,3,1,3,3,3,1,,1,"1.29",4,4,4,2
Module File,"D:\thesis2\real 106 project\requests\requests\adapters.py",D:\thesis2\real 106 project\requests\requests\adapters.py,2,2,3,1,21,3,12,6,,,,,2,17,,16,,,,,447,91,228,81,183,128,1,0,181,75,141,1,1,1,1,19,19,20,15,,4,"0.56",48,48,52,33
Module File,"D:\thesis2\real 106 project\requests\requests\api.py",D:\thesis2\real 106 project\requests\requests\api.py,1,1,1,1,14,2,2,9,,,,,0,8,,8,,,,,147,39,23,11,14,85,0,0,23,11,14,0,0,0,0,1,1,1,1,,0,"3.70",8,8,8,8
Module File,"D:\thesis2\real 106 project\requests\requests\auth.py",D:\thesis2\real 106 project\requests\requests\auth.py,2,2,2,1,13,1,10,1,,,,,4,14,,13,,,,,223,46,147,60,120,30,1,0,136,60,109,1,1,1,1,14,14,17,4,,1,"0.20",35,35,39,17
Module File,"D:\thesis2\real 106 project\requests\requests\certs.py",D:\thesis2\real 106 project\requests\requests\certs.py,2,2,2,1,4,0,2,2,,,,,0,2,,1,,,,,25,5,8,3,5,12,4,1,8,3,5,3,3,3,1,3,3,3,1,,1,"1.50",4,4,4,2
