Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\awesome-scala\metadata.py",D:\thesis2\real 106 project\awesome-scala\metadata.py,5,5,6,3,28,2,27,0,,,,,0,5,,4,,,,,195,24,142,52,127,31,2,0,127,51,112,2,2,2,1,13,13,13,9,,4,"0.22",27,27,32,18
Function,"metadata.flush_section(outf,section,sdesc,repos)",D:\thesis2\real 106 project\awesome-scala\metadata.py,,,,,,,,,,,,,,,,,,,,,22,2,20,3,19,0,10,1,20,3,19,5,5,7,4,,,,,,2,"0.00",,,,
Function,"metadata.output_repo(outf,name,stars,days,link,rdesc)",D:\thesis2\real 106 project\awesome-scala\metadata.py,,,,,,,,,,,,,,,,,,,,,10,0,10,3,9,0,4,1,8,3,7,3,3,5,1,,,,,,1,"0.00",,,,
Function,"metadata.query(owner,name)",D:\thesis2\real 106 project\awesome-scala\metadata.py,,,,,,,,,,,,,,,,,,,,,19,0,19,8,18,0,4,1,18,7,17,4,4,5,3,,,,,,3,"0.00",,,,
Function,"metadata.run()",D:\thesis2\real 106 project\awesome-scala\metadata.py,,,,,,,,,,,,,,,,,,,,,68,7,61,14,59,0,80,2,51,14,49,13,13,13,9,,,,,,4,"0.00",,,,
