Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"ABCMeta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ACMEServerMixin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"AccountStorage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseHTTPRequestHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"BaseRequestHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\__init__.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,12,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\challenges.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\challenges.py,1,1,1,1,11,2,4,5,,,,,17,30,,29,,,,,655,172,256,147,177,237,1,0,213,120,156,1,1,1,1,6,6,6,6,,2,"0.93",48,48,51,42
Module File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\challenges_test.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\challenges_test.py,1,1,1,1,6,0,6,0,,,,,13,85,,84,,,,,701,139,554,248,394,12,2,0,366,240,214,2,2,2,1,2,2,2,1,,1,"0.02",92,92,92,85
Module File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\client.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\client.py,2,2,2,1,18,3,8,6,,,,,2,30,,29,,,,,624,144,269,106,218,218,2,0,215,98,170,2,2,2,1,8,8,10,5,,3,"0.81",66,66,70,47
Module File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\client_test.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\client_test.py,1,1,1,1,9,0,7,1,,,,,4,60,,59,,,,,590,103,429,141,340,67,2,0,309,132,229,2,2,2,1,2,2,2,1,,1,"0.16",68,68,68,60
Module File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\crypto_util.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\crypto_util.py,1,1,1,1,16,3,9,5,,,,,2,11,,10,,,,,233,56,108,50,87,75,1,0,92,44,73,1,1,1,1,4,4,4,3,,2,"0.69",19,19,20,13
Module File,"D:\thesis2\real 106 project\letsencrypt\acme\acme\crypto_util_test.py",D:\thesis2\real 106 project\letsencrypt\acme\acme\crypto_util_test.py,1,1,1,1,4,0,3,0,,,,,3,16,,15,,,,,103,28,62,37,32,17,2,0,54,36,25,2,2,2,1,2,2,2,1,,1,"0.27",17,17,17,16
