Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\thesis2\real 106 project\big-list-of-naughty-strings\naughtystrings\__init__.py",D:\thesis2\real 106 project\big-list-of-naughty-strings\naughtystrings\__init__.py,1,1,1,1,14,9,8,11,,,,,0,2,,1,,,,,35,13,11,5,9,12,1,0,11,4,9,1,1,1,1,1,1,2,1,,1,"1.09",2,2,3,2
Module File,"D:\thesis2\real 106 project\big-list-of-naughty-strings\scripts\txt_to_json.py",D:\thesis2\real 106 project\big-list-of-naughty-strings\scripts\txt_to_json.py,1,1,2,1,7,0,0,0,,,,,0,1,,0,,,,,28,10,8,3,7,11,1,0,8,2,7,1,1,2,1,1,1,2,1,,1,"1.38",1,1,2,1
Package,"naughtystrings",,1,1,1,1,14,9,8,11,,,,,0,,1,1,,,,,35,13,11,5,9,12,,,11,4,9,,,,,1,1,2,1,,1,,2,2,3,2
Function,"naughtystrings.naughty_strings(filepath)",D:\thesis2\real 106 project\big-list-of-naughty-strings\naughtystrings\__init__.py,,,,,,,,,,,,,,,,,,,,,27,9,8,3,7,11,1,0,8,2,7,1,1,2,1,,,,,,1,"1.38",,,,
