Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Class,"ArgumentParser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"AttributeDocumenter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Module File,"D:\thesis2\real 106 project\powerline\client\powerline.py",D:\thesis2\real 106 project\powerline\client\powerline.py,6,6,6,3,21,0,6,0,,,,,0,3,,2,,,,,104,28,72,22,61,4,1728,3,69,21,58,14,14,14,4,14,14,14,4,,3,"0.06",20,20,20,9
Module File,"D:\thesis2\real 106 project\powerline\docs\source\conf.py",D:\thesis2\real 106 project\powerline\docs\source\conf.py,7,7,8,1,55,0,0,0,,,,,0,1,,0,,,,,70,10,59,27,55,2,18,1,37,27,33,7,7,8,1,7,7,8,1,,2,"0.03",7,7,8,1
Module File,"D:\thesis2\real 106 project\powerline\docs\source\powerline_autodoc.py",D:\thesis2\real 106 project\powerline\docs\source\powerline_autodoc.py,1,1,1,1,4,0,4,0,,,,,3,8,,8,,,,,64,17,45,24,25,2,0,0,40,22,22,0,0,0,0,3,3,3,1,,1,"0.04",12,12,14,8
Module File,"D:\thesis2\real 106 project\powerline\docs\source\powerline_automan.py",D:\thesis2\real 106 project\powerline\docs\source\powerline_automan.py,2,2,3,1,12,0,12,0,,,,,5,26,,25,,,,,390,53,329,106,289,8,1,0,201,105,161,1,1,1,1,17,17,29,3,,6,"0.02",62,62,83,28
File,"D:\thesis2\real 106 project\powerline\powerline\__init__.py",D:\thesis2\real 106 project\powerline\powerline\__init__.py,2,2,2,1,16,1,10,4,,,,,3,47,,46,,,,,874,149,495,175,422,230,2,0,406,159,343,2,2,2,1,20,20,36,6,,4,"0.46",117,117,140,57
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\awesome\powerline-awesome.py",D:\thesis2\real 106 project\powerline\powerline\bindings\awesome\powerline-awesome.py,4,4,4,1,12,0,9,0,,,,,0,2,,1,,,,,41,9,30,13,23,2,4,1,30,13,23,3,3,3,1,6,6,6,1,,2,"0.07",9,9,9,2
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\bar\powerline-bar.py",D:\thesis2\real 106 project\powerline\powerline\bindings\bar\powerline-bar.py,2,2,2,1,9,0,4,0,,,,,1,4,,3,,,,,63,14,47,21,33,2,7,1,44,21,30,5,5,5,1,5,5,5,1,,3,"0.04",9,9,9,4
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\config.py",D:\thesis2\real 106 project\powerline\powerline\bindings\config.py,2,2,2,1,13,0,10,2,,,,,1,19,,18,,,,,283,45,204,77,169,36,1,0,133,75,99,1,1,1,1,6,6,10,5,,3,"0.18",43,43,55,25
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\i3\powerline-i3.py",D:\thesis2\real 106 project\powerline\powerline\bindings\i3\powerline-i3.py,2,2,2,1,11,0,7,0,,,,,0,2,,1,,,,,45,13,30,15,21,2,5,1,30,15,21,4,4,4,1,4,4,4,1,,2,"0.07",5,5,5,2
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\ipython\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\ipython\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\ipython\post_0_11.py",D:\thesis2\real 106 project\powerline\powerline\bindings\ipython\post_0_11.py,1,1,1,1,5,0,5,0,,,,,5,12,,11,,,,,106,28,77,46,51,1,1,0,62,43,39,1,1,1,1,3,3,3,1,,1,"0.01",16,16,16,12
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\ipython\pre_0_11.py",D:\thesis2\real 106 project\powerline\powerline\bindings\ipython\pre_0_11.py,1,1,1,1,5,0,5,0,,,,,7,16,,16,,,,,146,34,111,64,77,1,0,0,90,61,58,0,0,0,0,2,2,2,1,,1,"0.01",20,20,20,16
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\pdb\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\pdb\__init__.py,1,1,1,1,5,0,4,0,,,,,4,23,,22,,,,,183,38,128,46,90,17,2,0,86,40,54,2,2,2,1,3,3,4,1,,1,"0.13",32,32,35,23
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\pdb\__main__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\pdb\__main__.py,2,2,2,1,2,0,0,0,,,,,0,1,,0,,,,,9,3,4,2,2,2,2,0,4,2,2,2,2,2,1,2,2,2,1,,1,"0.50",2,2,2,1
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\qtile\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\qtile\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\powerline\powerline\bindings\qtile\widget.py",D:\thesis2\real 106 project\powerline\powerline\bindings\qtile\widget.py,1,1,1,1,4,0,5,0,,,,,2,8,,7,,,,,61,13,43,23,30,5,1,0,36,19,23,1,1,1,1,2,2,2,1,,1,"0.12",11,11,12,8
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\tmux\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\tmux\__init__.py,1,1,1,1,6,0,3,3,,,,,0,8,,7,,,,,82,25,35,21,22,22,1,0,35,21,22,1,1,1,1,3,3,3,1,,2,"0.63",10,10,11,8
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\vim\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\vim\__init__.py,1,1,1,1,5,0,4,0,,,,,7,61,,60,,,,,482,108,367,123,284,8,4096,4,260,117,183,16,16,22,1,16,16,22,3,,2,"0.02",99,99,112,67
File,"D:\thesis2\real 106 project\powerline\powerline\bindings\zsh\__init__.py",D:\thesis2\real 106 project\powerline\powerline\bindings\zsh\__init__.py,2,2,2,1,7,0,7,0,,,,,4,22,,21,,,,,228,43,184,75,142,1,4,1,148,66,114,3,3,4,1,9,9,9,4,,3,"0.01",47,47,48,29
Module File,"D:\thesis2\real 106 project\powerline\powerline\colorscheme.py",D:\thesis2\real 106 project\powerline\powerline\colorscheme.py,3,3,3,1,18,1,13,1,,,,,1,7,,6,,,,,147,21,115,29,105,37,1,0,77,29,67,1,1,1,1,8,8,8,5,,5,"0.32",25,25,25,13
File,"D:\thesis2\real 106 project\powerline\powerline\commands\__init__.py",D:\thesis2\real 106 project\powerline\powerline\commands\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\powerline\powerline\commands\config.py",D:\thesis2\real 106 project\powerline\powerline\commands\config.py,1,1,1,1,14,0,15,0,,,,,2,6,,5,,,,,109,15,90,20,80,4,1,0,33,20,23,1,1,1,1,2,2,2,1,,1,"0.04",7,7,8,6
Module File,"D:\thesis2\real 106 project\powerline\powerline\commands\daemon.py",D:\thesis2\real 106 project\powerline\powerline\commands\daemon.py,1,1,1,1,18,0,18,0,,,,,0,1,,1,,,,,24,3,20,6,17,1,0,0,12,6,9,0,0,0,0,1,1,1,1,,0,"0.05",1,1,1,1
