,file,class_name,cohesion
0,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\fileglob.py,fileglob.LookupModule,100.0%
1,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_networkinterface.py,test_networkinterface.TestNetworkInterfaceCollection,35.0%
2,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_networkinterface.py,test_networkinterface.NetworkInterfaceTests,54.17%
3,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_reservedinstance.py,test_reservedinstance.TestReservedInstancesSet,25.0%
4,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_securitygroup.py,test_securitygroup.SecurityGroupTest,0.0%
5,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_securitygroup.py,test_securitygroup.TestDescribeSecurityGroups,50.0%
6,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_snapshot.py,test_snapshot.TestDescribeSnapshots,25.0%
7,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_spotinstance.py,test_spotinstance.TestGetSpotPriceHistory,25.0%
8,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_spotinstance.py,test_spotinstance.TestCancelSpotInstanceRequests,25.0%
9,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_volume.py,test_volume.VolumeAttributeTests,100.0%
10,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_volume.py,test_volume.VolumeTests,29.17%
11,D:\thesis2\9 project\boto\boto\tests\unit\ec2\test_volume.py,test_volume.AttachmentSetTests,0.0%
12,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestAutoScaleGroupHonorCooldown,25.0%
13,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestGetAdjustmentTypes,16.67%
14,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestAttachInstances,16.67%
15,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestScheduledGroup,16.67%
16,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestLaunchConfigurationDescribe,33.33%
17,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestPutNotificationConfiguration,16.67%
18,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestParseAutoScaleGroupResponse,25.0%
19,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestDescribeTerminationPolicies,25.0%
20,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestDetachInstances,30.0%
21,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestLaunchConfiguration,25.0%
22,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestAutoScaleGroup,33.33%
23,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestDeleteNotificationConfiguration,16.67%
24,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestLaunchConfigurationDescribeWithBlockDeviceTypes,33.33%
25,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestCreateAutoScalePolicy,30.0%
26,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestGetAccountLimits,16.67%
27,D:\thesis2\9 project\boto\boto\tests\unit\ec2\autoscale\test_group.py,test_group.TestAutoScalingTag,12.5%
28,D:\thesis2\9 project\boto\boto\tests\unit\ec2\cloudwatch\test_connection.py,test_connection.TestCloudWatchConnection,50.0%
29,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\first_found.py,first_found.LookupModule,100.0%
30,D:\thesis2\9 project\boto\boto\tests\unit\ec2\elb\test_attribute.py,test_attribute.TestLbAttributes,0.0%
31,D:\thesis2\9 project\boto\boto\tests\unit\ec2\elb\test_listener.py,test_listener.TestListenerResponseParsing,0.0%
32,D:\thesis2\9 project\boto\boto\tests\unit\ec2\elb\test_listener.py,test_listener.TestListenerGetItem,0.0%
33,D:\thesis2\9 project\boto\boto\tests\unit\ec2\elb\test_loadbalancer.py,test_loadbalancer.TestDetachSubnets,0.0%
34,D:\thesis2\9 project\boto\boto\tests\unit\ec2\elb\test_loadbalancer.py,test_loadbalancer.TestInstanceStatusResponseParsing,0.0%
35,D:\thesis2\9 project\boto\boto\tests\unit\ec2\elb\test_loadbalancer.py,test_loadbalancer.TestDescribeLoadBalancers,0.0%
36,D:\thesis2\9 project\boto\boto\tests\unit\ecs\test_connection.py,test_connection.TestECSConnection,25.0%
37,D:\thesis2\9 project\boto\boto\tests\unit\elasticache\test_api_interface.py,test_api_interface.TestAPIInterface,50.0%
38,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestListSteps,33.33%
39,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestListBootstrapActions,25.0%
40,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestListClusters,40.0%
41,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestDescribeStep,25.0%
42,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestBuildTagList,50.0%
43,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestAddTag,25.0%
44,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestRunJobFlow,25.0%
45,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestAddJobFlowSteps,25.0%
46,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestDescribeJobFlows,100.0%
47,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.DescribeJobFlowsTestBase,0.0%
48,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestRemoveTag,25.0%
49,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestListInstanceGroups,25.0%
50,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestDescribeCluster,25.0%
51,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestDescribeJobFlow,100.0%
52,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_connection.py,test_connection.TestListInstances,37.5%
53,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\flattened.py,flattened.LookupModule,100.0%
54,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_emr_responses.py,test_emr_responses.TestEMRResponses,0.0%
55,D:\thesis2\9 project\boto\boto\tests\unit\emr\test_instance_group_args.py,test_instance_group_args.TestInstanceGroupArgs,0.0%
56,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_concurrent.py,test_concurrent.TestConcurrentUploader,33.33%
57,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_concurrent.py,test_concurrent.TestUploaderThread,62.5%
58,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_concurrent.py,test_concurrent.FakeThreadedConcurrentDownloader,50.0%
59,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_concurrent.py,test_concurrent.FakeThreadedConcurrentUploader,50.0%
60,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_job.py,test_job.TestJob,66.67%
61,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer1.py,test_layer1.GlacierVaultsOperations,68.75%
62,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer1.py,test_layer1.GlacierJobOperations,66.67%
63,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer1.py,test_layer1.GlacierUploadArchiveResets,100.0%
64,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer1.py,test_layer1.GlacierLayer1ConnectionBase,80.0%
65,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer2.py,test_layer2.UTC,0.0%
66,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer2.py,test_layer2.TestRangeStringParsing,0.0%
67,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer2.py,test_layer2.TestGlacierLayer2Connection,100.0%
68,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer2.py,test_layer2.TestVault,94.44%
69,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer2.py,test_layer2.GlacierLayer2Base,100.0%
70,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_layer2.py,test_layer2.TestJob,83.33%
71,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_response.py,test_response.TestResponse,0.0%
72,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_utils.py,test_utils.TestTreeHash,0.0%
73,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_utils.py,test_utils.TestChunking,0.0%
74,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_utils.py,test_utils.TestPartSizeCalculations,0.0%
75,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_utils.py,test_utils.TestFileHash,0.0%
76,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_vault.py,test_vault.TestVault,67.86%
77,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_vault.py,test_vault.TestConcurrentUploads,0.0%
78,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_vault.py,test_vault.FakeResponse,0.0%
79,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_writer.py,test_writer.TestWriter,25.0%
80,D:\thesis2\9 project\boto\boto\tests\unit\glacier\test_writer.py,test_writer.TestResume,42.86%
81,D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\indexed_items.py,indexed_items.LookupModule,100.0%
82,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestUpdateAccountPasswordPolicy,25.0%
83,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestGetSamlProvider,25.0%
84,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestGetAccountPasswordPolicy,25.0%
85,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestCreateVirtualMFADevice,25.0%
86,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestCreateSamlProvider,25.0%
87,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestDeleteAccountPasswordPolicy,25.0%
88,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestListSamlProviders,25.0%
89,D:\thesis2\9 project\boto\boto\tests\unit\iam\test_connection.py,test_connection.TestDeleteSamlProvider,25.0%
